address,city,state,tenant_count,currently_open,previous_tenants
3131 Walnut St,Philadelphia,PA,10,0,"WrappedArray(St. Declan's Well, The Fat Ham, The Left Bank by Dranoff Properties, Ajia Restaurant & Sushi Bar, Trophy Bikes, Waterfront Gourmet Cafe & Deli, Tipsy Bistro, Sabir's Restaurant, Intermezzo Cafe, Picnic)"
1031 Germantown Ave,Philadelphia,PA,8,0,"WrappedArray(North Shore Beach Club, Vesper Dayclub, Chenango Restaurant & Bar, Arrow Swim Club, Boardwalk Bar, Kings Oak, The Havana Room, Monarch Philly)"
110 Chestnut St,Philadelphia,PA,6,0,"WrappedArray(Nauti Mermaid Crab House, Jolly's Dueling Piano Bar, Prime Stache, Old City Oyster Bar, The Crocodile, Moda)"
290 E Lincoln Hwy,Exton,PA,6,0,"WrappedArray(Green Papaya, Godaari Ruchulu - Exton, Biryani King, Tawa Indian Cuisine, Hyderabad Palace, Tabla Indian Cuisine)"
437 Esplanade Ave,New Orleans,LA,5,0,"WrappedArray(Mojitos Rum Bar & Grill, Ms Jean's Famous Blues Burgers and Beginets, Tomatillo's, NOLA Cantina, J's Island Fish House)"
105 S 13th St,Philadelphia,PA,5,0,"WrappedArray(Jamonera, Grocery, Super Spartan, Salty’s Seafood & Ice Cream Shack, Bindi)"
526 S 4th St,Philadelphia,PA,5,0,"WrappedArray(5 n 2 Tokyo, Delicias, Don Quixote Tapas & Things, Django, Ants Pants on 4th)"
1425 Arch St,Philadelphia,PA,5,0,"WrappedArray(Ground Zero Center City, Ryan Crowns Juice Club, AVA Wellness, Fusion Gym, Sweat Fitness)"
703 Chestnut St,Philadelphia,PA,5,0,"WrappedArray(Pizza Fresca by Lamberti, The Green Wasabi, Prime Burger Company, Kibitz in the City, Delicatessen)"
218 E Davis Blvd,Tampa,FL,5,0,"WrappedArray(Oggi Pizzeria, Amuni Wood Fired Oven, Davis Island Cleaners, Tasty Roots, Soobak)"
900 N Pinellas Ave,Tarpon Springs,FL,5,0,"WrappedArray(Ballyhoo's Grill, The Original Grill, Bumpa's Fish Shack, Eliza Restaurant, Crabby Bill's Seafood)"
1160 First Ave,King of Prussia,PA,4,0,"WrappedArray(Seven The Nightclub, Viviano, LP Steak, Deuce's Wild)"
1430 E 7th Ave,Tampa,FL,4,0,"WrappedArray(Silver Ring Cafe, Buddha Lounge, Czar, Zoya Hookah Lounge)"
1214 Walnut St,Philadelphia,PA,4,0,"WrappedArray(Samosa Vegetarian, Saffron Indian Cuisine, San Somosa, New Samosa)"
14601 Gulf Blvd,Madeira Beach,FL,4,0,"WrappedArray(Off the Hook Beach Bistro, GRITS, Deano’s Beach Kitchen, Ocean Breeze Grill)"
16132 Churchview Dr,Lithia,FL,4,0,"WrappedArray(Catch Twenty-Three Fish Hawk, Park Square Cellar, Cool Beans, Park Square Prime Smokehouse)"
1623 E Passyunk Ave,Philadelphia,PA,4,0,"WrappedArray(Salt & Pepper, Roselena's, Michael's Cafe, Sophia's)"
1910 Magazine St,New Orleans,LA,4,0,"WrappedArray(Jackson, Roux Public House, Hookah House Cafe, Bonnets Nola)"
2 N Lansdowne Ave,Lansdowne,PA,4,0,"WrappedArray(Argana, Langar Restaurant, Gyro King and Fried Chicken, Lansdowne Diner)"
202 E Lancaster Ave,Ardmore,PA,4,0,"WrappedArray(Green Papaya Asian Bistro, Yeats Pub, Bistro Thirty, Sam's Asian Cuisine)"
224 Market St,Philadelphia,PA,4,0,"WrappedArray(Jasmine Rice - Old City, Red Sky, Thai Koji Sushi, Red Sky)"
2124 S Eagle Rd,Newtown,PA,4,0,"WrappedArray(International Noodles, Asiana Restaurant, Cross Culture, Siam Cuisine Thai Restaurant II)"
232 Woodbine Ave,Narberth,PA,4,0,"WrappedArray(Gemelli, Carmines Creole Cafe Act II, New Habana, Aperto Restaurant)"
267 S 19th St,Philadelphia,PA,4,0,"WrappedArray(Divino Wine Bar, Crow and the Pitcher, Baril, C19 Cichetteria Venezia)"
239 Chestnut St,Philadelphia,PA,4,0,"WrappedArray(Rocchino's, Barra Restaurant, Revolution Diner, Paradigm Restaurant & Bar)"
2950 Gulf To Bay Blvd,Clearwater,FL,4,0,"WrappedArray(Jungle Bills Tiki Grill, Yummi Crab, Jack's Joint, Santa Fe Mexican Restaurant)"
29 3rd St N,Saint Petersburg,FL,4,0,"WrappedArray(Empouria, Rattle N Hum, Beantown Pub South, Cask And Ale)"
319 Market St,Philadelphia,PA,4,0,"WrappedArray(GiGi Restaurant & Lounge, The Boiling Pot, Common Wealth Old City, 4 Fathers Philadelphia)"
3226 Magazine St,New Orleans,LA,4,0,"WrappedArray(Catch, Salú Bistro and Bar, Semolina's Bistro Italia, The Bayou Burger & Sports Company)"
3431 Houma Blvd,Metairie,LA,4,0,"WrappedArray(The Stuffed Crab, Bistro Orleans, Where Ya At Friends and Spirits, Hot & Spicy Corner)"
3301 S Dale Mabry Hwy,Tampa,FL,4,0,"WrappedArray(Le Boudoir, Nuevo Cafe, La Dolce Vita, So Gourmet)"
429 South St,Philadelphia,PA,4,0,"WrappedArray(Miami Cafe, Silver Fork Thai & Japanese Cuisine, Circles Headhouse, Tuk Tuk Real)"
372 W Lancaster Ave,Wayne,PA,4,0,"WrappedArray(Carmel Kitchen & Wine Bar, Hogfish Bar & Grill, Flavor, Carmel Cafe & Wine Bar)"
444 N 4th St,Philadelphia,PA,4,0,"WrappedArray(Mangiamo 444, Café Estelle, Bistro Sorriso, City Gourmet Deli)"
4820 N Armenia Ave,Tampa,FL,4,0,"WrappedArray(El Zarape Mexican Restaurant, Jalapeno Mexican Grill, Mi Bello Ecuador Restaurante, Bull Grill Brazilian Steakhouse)"
4504 City Ave,Philadelphia,PA,4,0,"WrappedArray(Tang Dynasty Buffet, Flaming Grill & Fusion Buffet, Tony Roni's - City Line, Royal Buffet & Grill)"
627 South St,Philadelphia,PA,4,0,"WrappedArray(Baklava Cafe, Little Negril Jamaican Restaurant, Latin Flavor, Mandalay Bowl)"
5226 4th St N,Saint Petersburg,FL,4,0,"WrappedArray(Uncle Maddio's Pizza, Pie Topia, Capital Tacos, World of Beer)"
1011 W Lancaster Ave,Bryn Mawr,PA,3,0,"WrappedArray(The BRGR Joint, Cerise Craft Steakhouse, Hajimaru Ramen)"
1002 W Skippack Pike,Blue Bell,PA,3,0,"WrappedArray(Gaya, Arisu Korean Restaurant, Seoul Korean BBQ)"
10316 Roosevelt Blvd N,Saint Petersburg,FL,3,0,"WrappedArray(Chicago's Stuffed Pizza, OGGI - St Petersburg, Capriccio)"
1003 E Main St,Norristown,PA,3,0,"WrappedArray(Beagle Tavern, Duke's Bbq, Icons Sports Pub)"
11612 N Nebraska Ave,Tampa,FL,3,0,"WrappedArray(Just 4 U Vegan Kitchen, El Sabor Boricua, Flea Market)"
102 S 13th St,Philadelphia,PA,3,0,"WrappedArray(APO Bar + Lounge, The Corner, Mamou)"
11653 Countryway Blvd,Westchase,FL,3,0,"WrappedArray(Zerillos Italian Grill, Enzo's Pizzeria & Pasta from New York, Nabruzzi Trattoria)"
1112 Locust St,Philadelphia,PA,3,0,"WrappedArray(Flying Monkey Deuce, Cake and the Beanstalk, Hummusology)"
120 Woodcutter St,Exton,PA,3,0,"WrappedArray(Freskada Wood Fire Kitchen, Famous Toastery, Forage American Brasserie)"
11124 N 30th St,Tampa,FL,3,0,"WrappedArray(Kay's Kitchen, RyRy's Chicken And Waffles, Pizza Squared)"
1200 S Carrollton Ave,New Orleans,LA,3,0,"WrappedArray(Curry Corner, The Nail Lounge, Juicy D's Steamed Burgers)"
1140 Main St,Dunedin,FL,3,0,"WrappedArray(Wheel Cafe, Bistro Atlantis, Naughty Noodle)"
