name,stars,attributes,categories,is_open
St. Declan's Well,3.5,"[null,null,u'full_bar',{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},null,null,null,null,null,True,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},null,null,null,null,null,null,null,null,False,null,null,True,True,null,u'average',null,False,u'casual',null,False,True,2,True,null,True,null,null,u'free']","Nightlife, Music Venues, Irish, Pubs, Irish Pub, Arts & Entertainment, Food, Restaurants, Breweries, Bars, Beer, Wine & Spirits",0
The Fat Ham,4.0,"[null,null,u'full_bar',{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},null,null,null,True,null,True,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},null,True,null,null,null,null,null,null,False,{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'breakfast': False, 'brunch': False},null,True,False,null,u'average',null,False,u'casual',null,False,False,2,False,True,False,null,True,u'no']","Southern, Tapas/Small Plates, Restaurants",0
The Left Bank by Dranoff Properties,3.5,"[null,null,null,null,null,null,null,null,null,True,null,False,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]","Apartments, Home Services, Real Estate",0
Ajia Restaurant & Sushi Bar,2.5,"[null,null,u'none',{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False},null,'yes_free',null,null,null,True,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},null,null,null,null,null,null,null,null,False,null,null,null,False,null,u'quiet',null,False,'casual',null,False,True,2,False,null,True,null,null,u'no']","Sushi Bars, Restaurants, Japanese",0
Trophy Bikes,3.5,"[null,null,null,null,null,null,null,null,null,True,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,null]","Bike Repair/Maintenance, Bike Rentals, Bikes, Sports Wear, Local Services, Local Flavor, Active Life, Shopping, Fashion, Sporting Goods",0
Waterfront Gourmet Cafe & Deli,4.0,"[null,null,u'none',{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},null,null,null,True,False,True,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},null,True,null,null,null,True,null,null,True,{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': True},null,null,False,null,u'quiet',null,False,'casual',null,True,True,1,False,False,True,null,True,u'free']","Caterers, Sandwiches, Delis, Restaurants, Cafes, Event Planning & Services",0
Tipsy Bistro,4.5,"[null,null,u'full_bar',{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': None, u'intimate': True, u'romantic': False, u'classy': None, u'upscale': False},False,null,{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False},True,null,True,{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False},null,True,False,null,null,False,null,False,False,{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': None},null,True,True,{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': None},u'average',null,True,'casual',null,True,True,2,True,True,True,u'no',True,u'free']","Bars, American (New), Restaurants, Sports Bars, Nightlife, Breakfast & Brunch",0
Sabir's Restaurant,2.0,"[null,null,u'none',{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False},null,null,null,null,null,True,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},null,True,null,null,null,null,null,null,False,null,null,null,False,null,u'average',null,null,u'casual',null,True,True,1,null,null,True,null,null,u'free']","Indian, Restaurants, Convenience Stores, Food",0
Intermezzo Cafe,4.0,"[null,null,u'full_bar',null,null,'no',null,null,null,True,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},null,null,null,null,null,null,null,null,False,null,null,null,null,null,null,null,True,'casual',null,False,True,1,False,null,True,null,null,u'free']","Restaurants, Food, Coffee & Tea",0
Picnic,4.5,"[null,null,'none',{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True},null,null,null,True,null,True,{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False},null,True,null,null,null,null,null,null,True,null,null,null,False,null,u'average',null,True,u'casual',null,True,False,2,False,null,True,null,null,'free']","American (New), Restaurants, Caterers, Sandwiches, Event Planning & Services",0
