word1,word2,co_occurrence
our,our,2133
our,out,1554
our,there,1466
if,there,1371
all,our,1371
out,there,1367
if,our,1343
good,our,1323
all,good,1314
all,there,1259
good,there,1249
our,time,1226
good,like,1215
good,its,1210
all,out,1210
if,out,1208
one,our,1206
there,when,1203
good,good,1198
one,there,1196
good,great,1194
good,if,1191
like,there,1176
about,our,1164
all,like,1161
there,time,1154
our,would,1153
if,its,1152
our,when,1143
there,up,1133
like,out,1131
good,out,1127
if,like,1126
all,if,1124
our,up,1123
our,service,1105
its,there,1102
like,our,1100
all,one,1097
if,one,1093
great,our,1081
out,up,1060
out,when,1057
one,out,1055
get,there,1052
good,here,1046
if,would,1045
good,one,1033
there,would,1017
good,really,1015
get,out,1005
all,time,1002
there,there,1001
here,our,1000
great,there,1000
about,there,996
our,their,993
good,time,990
get,if,987
if,when,983
good,service,978
if,up,967
out,time,967
all,its,966
about,out,957
our,which,956
go,there,953
good,their,953
get,our,952
its,out,940
good,would,933
one,time,931
all,up,930
get,good,928
if,their,925
great,if,925
back,our,925
its,like,924
came,our,923
about,all,921
out,would,920
about,if,920
great,time,914
about,good,909
here,if,904
great,service,902
one,their,897
its,one,893
like,one,891
great,here,891
all,here,890
out,their,889
if,time,886
good,which,875
all,their,872
if,your,872
get,like,871
here,there,871
here,its,868
good,up,865
