city,state,review_count,avg_rating,rating_stddev
St. Peters,MO,153,4.784313725490196,0.724942615429411
Town N Country,FL,156,4.769230769230769,0.8488789863689401
Pass-a-Grille Beach,FL,174,4.712643678160919,0.5968713415070325
Town 'n' Country,FL,137,4.686131386861314,0.9215701500342185
Sparks NV,NV,109,4.559633027522936,1.1174639994246767
Balm,FL,111,4.558558558558558,1.0504084459665695
Chestnut Hill,PA,112,4.553571428571429,1.072500536250402
Truckee,CA,198,4.5353535353535355,1.1020344021929982
reno,NV,151,4.483443708609271,1.0884503028664902
Mulberry,FL,153,4.457516339869281,1.1640838282833095
